,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
480,@nytimes,-0.7506,Wed Apr 18 03:47:01 +0000 2018,0.381,0.508,0.11,Legislator after legislator talked about a dire affordable-housing crisis that demanded bold action and a marked in… https://t.co/tI0b774qfT,481
481,@nytimes,0.0,Wed Apr 18 03:32:03 +0000 2018,0.0,1.0,0.0,After crossing the finish line she asked officials what place she had come in. They told her second. She wondered w… https://t.co/VGEl6j2dg6,482
482,@nytimes,0.0,Wed Apr 18 03:17:04 +0000 2018,0.0,1.0,0.0,"RT @karenyourish: Connect the dots: the president, his lawyer, a porn star, a Playboy model and the National Enquirer. https://t.co/1uO17mE…",483
483,@nytimes,0.0,Wed Apr 18 03:02:03 +0000 2018,0.0,1.0,0.0,"Starbucks will close more than 8,000 of its stores in the U.S. on May 29 to conduct racial-bias training for nearly… https://t.co/iARlzFAmbs",484
484,@nytimes,0.5859,Wed Apr 18 02:51:03 +0000 2018,0.0,0.858,0.142,RT @jakesNYT: NEW: The backstory on how the White House hung U.N. ambassador Nikki Haley out to dry on new Russia sanctions. Amazing detail…,485
485,@nytimes,0.0,Wed Apr 18 02:47:01 +0000 2018,0.0,1.0,0.0,Here’s a look at everything Sean Hannity said about Michael Cohen on “Hannity” in the past week https://t.co/wQEdibjtGq,486
486,@nytimes,0.7096,Wed Apr 18 02:32:02 +0000 2018,0.0,0.781,0.219,"The New York Times obituary for Carl Kasell, an NPR star, who went from news anchor to beloved comedian on the popu… https://t.co/tNsoCzEHU8",487
487,@nytimes,0.0,Wed Apr 18 02:26:02 +0000 2018,0.0,1.0,0.0,RT @palafo: The job went to a woman https://t.co/fMXIR8MtnB,488
488,@nytimes,-0.0516,Wed Apr 18 02:17:04 +0000 2018,0.157,0.696,0.148,RT @nytopinion: Any other president would have fired Scott Pruitt by now. But Donald Trump praises him. https://t.co/VQT9UZswJO,489
489,@nytimes,0.5574,Wed Apr 18 02:02:07 +0000 2018,0.0,0.753,0.247,Defense Secretary Jim Mattis urged President Trump to get congressional approval before launching airstrikes agains… https://t.co/r6HBJptan6,490
490,@nytimes,0.4404,Wed Apr 18 01:47:05 +0000 2018,0.0,0.805,0.195,"RT @NYTNational: ?? “Is San Francisco safe from the next big earthquake?”

https://t.co/ySMIoCfe6o",491
491,@nytimes,0.0,Wed Apr 18 01:32:05 +0000 2018,0.0,1.0,0.0,"The New York Times obituary for Barbara Bush
https://t.co/wgJ4nGz2fd https://t.co/m1SrgUwjYL",492
492,@nytimes,0.0,Wed Apr 18 01:22:02 +0000 2018,0.0,1.0,0.0,"RT @motokorich: Pompeo meets Kim, Trump meets Abe. Could the DMZ actually demilitarize? Will US rejoining TPP ever be other than “a thought…",493
493,@nytimes,0.0,Wed Apr 18 01:10:38 +0000 2018,0.0,1.0,0.0,Breaking News: The CIA director Mike Pompeo is said to have met with North Korea’s Kim Jong-un in recent weeks to s… https://t.co/VDyaONO7R1,494
494,@nytimes,0.0,Wed Apr 18 01:02:04 +0000 2018,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/Q31jFUASUr,495
495,@nytimes,-0.4019,Wed Apr 18 00:47:02 +0000 2018,0.153,0.847,0.0,"""I don’t get confused,’ Nikki Haley says, rebuffing the White House in Russia sanctions dispute https://t.co/WEJXzG2urB",496
496,@nytimes,0.4588,Wed Apr 18 00:32:04 +0000 2018,0.0,0.885,0.115,RT @FrankBruni: One of my favorite stories about Barbara Bush is one from her granddaughters about her lecture to them on White House etiqu…,497
497,@nytimes,0.0,Wed Apr 18 00:22:05 +0000 2018,0.0,1.0,0.0,"The IRS website is working again, and taxpayers will get an extra day to file. Earlier the site advised: ""Come back… https://t.co/l9Pmytkbh7",498
498,@nytimes,0.8519,Wed Apr 18 00:11:05 +0000 2018,0.0,0.712,0.288,"RT @marclacey: Bill Clinton on Barbara Bush: ""She had grit and grace, brains &amp; beauty. She was fierce and feisty in support of her family a…",499
499,@nytimes,0.0,Wed Apr 18 00:04:00 +0000 2018,0.0,1.0,0.0,Barbara Bush: a life in photographs https://t.co/EcwTeWBTWv,500
