,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
155,@Akaadian,0.631,Mon Apr 16 20:41:40 +0000 2018,0.0,0.828,0.172,@CG_Sun @snowboardjacket I’m gonna have to go with install the game but dodge anytime ur on a champ other than reng… https://t.co/zyaVIfXXgi,156
156,@Akaadian,-0.3182,Mon Apr 16 19:42:18 +0000 2018,0.145,0.724,0.131,@AllorimLoL Ur just mad about this narrative because ur a hecking tank playing team player.. sigh when will u learn… https://t.co/3Q08VaqFA8,157
157,@Akaadian,0.2732,Mon Apr 16 19:39:02 +0000 2018,0.0,0.741,0.259,@chad @gamespot @msitweets God ur so dashing,158
158,@Akaadian,0.296,Mon Apr 16 16:43:08 +0000 2018,0.0,0.577,0.423,@inerolol @LiquidDominate Can I join,159
159,@Akaadian,-0.296,Mon Apr 16 16:38:08 +0000 2018,0.196,0.804,0.0,@PowerOfEvilLoL Only if u wear no shirt in ur new one,160
160,@Akaadian,0.4404,Thu Apr 19 01:03:48 +0000 2018,0.0,0.256,0.744,@inerolol thanks,161
161,@Akaadian,0.0,Thu Apr 19 00:15:29 +0000 2018,0.0,1.0,0.0,@just9n @chad @C9shroud @Dacchei You guys are so wholesome,162
162,@Akaadian,0.4404,Wed Apr 18 23:44:18 +0000 2018,0.0,0.734,0.266,Felt better and got pulled out sry bros https://t.co/UlD8cvOuzk,163
163,@Akaadian,0.0,Wed Apr 18 22:44:06 +0000 2018,0.0,1.0,0.0,@ThixNation @TeamLiquid Grind lord thix,164
164,@Akaadian,-0.4404,Wed Apr 18 20:59:50 +0000 2018,0.326,0.674,0.0,@C9Goldenglue This vacation looks nutty Tfti :(,165
165,@Akaadian,-0.586,Wed Apr 18 19:50:55 +0000 2018,0.248,0.629,0.122,"woke up feeling not so good today, think i might stream later or not at all sorry dudes :(",166
166,@Akaadian,0.4295,Wed Apr 18 02:03:14 +0000 2018,0.055,0.774,0.171,"thanks for watching guys! Had a good time shaking off the rust, had some games where i REALLY ran it down but tried… https://t.co/7CsAWJpv08",167
167,@Akaadian,-0.0258,Wed Apr 18 00:28:41 +0000 2018,0.262,0.483,0.255,@daniel09ali @YassuoNA @LiquidDominate that's the perfect age range wtf?,168
168,@Akaadian,0.8189,Tue Apr 17 23:52:34 +0000 2018,0.0,0.571,0.429,@YassuoNA @LiquidDominate tfw this reply has more likes than my pictures ROFL,169
169,@Akaadian,0.0,Tue Apr 17 22:10:49 +0000 2018,0.0,1.0,0.0,My little sister had her senior prom recently. Here’s some pictures of her and I and my little brother! https://t.co/D9KZmgB5Vb,170
170,@Akaadian,0.0,Tue Apr 17 21:44:57 +0000 2018,0.0,1.0,0.0,@Timkiro thats a very tim thing to do,171
171,@Akaadian,0.0,Tue Apr 17 18:22:58 +0000 2018,0.0,1.0,0.0,https://t.co/TJn2zZRL8S https://t.co/k1fhzhZou0,172
172,@Akaadian,0.7178,Tue Apr 17 05:32:10 +0000 2018,0.0,0.684,0.316,"@CG_Sun @JoshMabreyBaby Thanks dude I will reference this in my workout regimen, really liked the poses",173
173,@Akaadian,0.2244,Tue Apr 17 00:21:56 +0000 2018,0.135,0.76,0.106,"gonna hit a short stream before i leave again, gonna shake off the rust! Get ready for a lot more streaming from me… https://t.co/jIs4HqRS7e",174
174,@Akaadian,0.34,Mon Apr 16 23:15:36 +0000 2018,0.144,0.556,0.3,@GodEkko @AllorimLoL Definitely One Hundred Percent Serious.,175
175,@Akaadian,0.631,Mon Apr 16 20:41:40 +0000 2018,0.0,0.828,0.172,@CG_Sun @snowboardjacket I’m gonna have to go with install the game but dodge anytime ur on a champ other than reng… https://t.co/zyaVIfXXgi,176
176,@Akaadian,-0.3182,Mon Apr 16 19:42:18 +0000 2018,0.145,0.724,0.131,@AllorimLoL Ur just mad about this narrative because ur a hecking tank playing team player.. sigh when will u learn… https://t.co/3Q08VaqFA8,177
177,@Akaadian,0.2732,Mon Apr 16 19:39:02 +0000 2018,0.0,0.741,0.259,@chad @gamespot @msitweets God ur so dashing,178
178,@Akaadian,0.296,Mon Apr 16 16:43:08 +0000 2018,0.0,0.577,0.423,@inerolol @LiquidDominate Can I join,179
