,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
238,@Bjergsen,0.6597,Fri Apr 13 02:00:11 +0000 2018,0.0,0.27,0.73,@parthenaan @konkwon Definitely Yes.,239
239,@Bjergsen,0.4199,Fri Apr 13 01:22:49 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,240
240,@Bjergsen,0.128,Thu Apr 19 03:45:12 +0000 2018,0.129,0.718,0.153,Sometimes I have internal arguments about whether I will have the courage to go fully bald if I start balding...,241
241,@Bjergsen,0.837,Thu Apr 19 03:23:04 +0000 2018,0.0,0.335,0.665,@Mushyee @Sneaky LOL. This is great!,242
242,@Bjergsen,0.4003,Tue Apr 17 03:17:19 +0000 2018,0.0,0.876,0.124,"We're giving away my gaming setup @Logitech!

To enter the giveaway -- follow me, follow @TeamSoloMid on twitter, R… https://t.co/M7I6ThhTir",243
243,@Bjergsen,0.5719,Sun Apr 15 23:07:25 +0000 2018,0.0,0.519,0.481,@TheFinalWarrior happy to hear that,244
244,@Bjergsen,0.9418,Sun Apr 15 23:05:57 +0000 2018,0.0,0.395,0.605,@TheFinalWarrior It's good to be kind but be careful not to be taken advantage off friend :),245
245,@Bjergsen,0.6705,Sun Apr 15 08:04:45 +0000 2018,0.0,0.154,0.846,@_MandaRapp I agree :),246
246,@Bjergsen,0.0,Sun Apr 15 07:32:39 +0000 2018,0.0,1.0,0.0,@RTraut7 I could learn from you,247
247,@Bjergsen,0.5093,Sun Apr 15 07:32:05 +0000 2018,0.0,0.752,0.248,@Tobias_riemann Det er ikke sandt! Bare giv det lidt tid :),248
248,@Bjergsen,-0.3348,Sun Apr 15 07:30:22 +0000 2018,0.339,0.221,0.44,@jmo_toonex hell yeah!!! good to hear.,249
249,@Bjergsen,0.7964,Sun Apr 15 07:24:29 +0000 2018,0.0,0.297,0.703,@pbandMelly51 Thats great IMO :),250
250,@Bjergsen,0.5399,Sun Apr 15 07:21:22 +0000 2018,0.0,0.775,0.225,Don't be afraid to be speak out about the good parts of you!! ?,251
251,@Bjergsen,0.3612,Sun Apr 15 07:20:22 +0000 2018,0.0,0.545,0.455,What are your virtues?,252
252,@Bjergsen,0.3578,Sat Apr 14 23:16:07 +0000 2018,0.0,0.547,0.453,@Jake_Jedi @SebastianLindr2 @TeamSoloMid worth!!,253
253,@Bjergsen,0.743,Sat Apr 14 06:34:18 +0000 2018,0.0,0.73,0.27,RT @Jezebell89: It was such an amazing time with @TeamSoloMid @lalicich @Jake_Jedi @SebastianLindr2 thank u @Gillette for this experience a…,254
254,@Bjergsen,0.0,Sat Apr 14 06:34:11 +0000 2018,0.0,1.0,0.0,@ReddyforUs its just a prank bro,255
255,@Bjergsen,-0.8225,Sat Apr 14 06:30:52 +0000 2018,0.286,0.714,0.0,I had the worst airplane ride of my life today with a horrible migraine lasting the entire flight AND IT'S FRIDAY T… https://t.co/VBVS3OcebW,256
256,@Bjergsen,0.8842,Sat Apr 14 05:13:17 +0000 2018,0.0,0.537,0.463,@Jezebell89 @TeamSoloMid @lalicich @Jake_Jedi @SebastianLindr2 @Gillette @mithytsm @MikeYeunglol @lolHauntzer @LoLZven Glad you had fun :D,257
257,@Bjergsen,0.7865,Fri Apr 13 13:52:10 +0000 2018,0.0,0.565,0.435,@Jake_Jedi @Gillette @TeamSoloMid @lolHauntzer @LoLZven @mithytsm @MikeYeunglol Thanks for coming :D,258
258,@Bjergsen,0.6597,Fri Apr 13 02:00:11 +0000 2018,0.0,0.27,0.73,@parthenaan @konkwon Definitely Yes.,259
