,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
36,@DarshanU,0.0258,Mon Apr 02 00:24:20 +0000 2018,0.279,0.492,0.23,@Xmithie missing the best player in the old clg roster tho :(,37
37,@DarshanU,0.5267,Mon Apr 02 00:20:41 +0000 2018,0.0,0.702,0.298,congrats brodie take it home for the boys @aphromoo,38
38,@DarshanU,0.4753,Tue Mar 27 23:08:16 +0000 2018,0.0,0.829,0.171,hey guys it's been a while! trying out conqueror on a bunch of champs in solo queue https://t.co/8lgYwMtfyA,39
39,@DarshanU,0.7424,Sun Mar 25 22:26:29 +0000 2018,0.0,0.614,0.386,Nice game out of everyone from clutch! This'll be an exciting playoffs,40
40,@DarshanU,0.4753,Wed Apr 18 23:20:55 +0000 2018,0.0,0.66,0.34,@betsuniipls @SFAT Nice to meet you man!,41
41,@DarshanU,0.0,Tue Apr 17 18:10:38 +0000 2018,0.0,1.0,0.0,hitting the rift after a short vacay https://t.co/8lgYwMtfyA,42
42,@DarshanU,0.0,Tue Apr 17 16:47:40 +0000 2018,0.0,1.0,0.0,@aphromoo 1v1 me,43
43,@DarshanU,0.2006,Tue Apr 17 03:37:38 +0000 2018,0.081,0.807,0.113,"Irelia ""buffs"" on pbe look much more like a nerf... 3 armor and 10% minion dmg while raising ulti cd and lowering u… https://t.co/2m0s4Zme7A",44
44,@DarshanU,-0.6486,Tue Apr 10 21:11:32 +0000 2018,0.261,0.739,0.0,hey guys I missed ya https://t.co/8lgYwMtfyA im alittle late but ill be streaming til 6 or so to compensate,45
45,@DarshanU,0.4003,Tue Apr 10 00:38:54 +0000 2018,0.0,0.856,0.144,league player gone fortnite streamer... gonna play for an hour or two with the CLG.b guys! https://t.co/8lgYwMtfyA,46
46,@DarshanU,0.0,Mon Apr 09 19:06:30 +0000 2018,0.0,1.0,0.0,probably gonna try 12-4 the next couple days and see how it feels! https://t.co/8lgYwMtfyA LIVE with some more irelia action,47
47,@DarshanU,0.8622,Sun Apr 08 22:25:55 +0000 2018,0.0,0.343,0.657,congrats guys @xmithie @Pobelter @TLDoublelift Well deserved win! ?,48
48,@DarshanU,-0.4767,Sun Apr 08 21:56:04 +0000 2018,0.582,0.149,0.269,top die POGGERS,49
49,@DarshanU,-0.5106,Sun Apr 08 20:33:39 +0000 2018,0.398,0.602,0.0,of course xmithie steals the baron....,50
50,@DarshanU,0.0,Sat Apr 07 03:08:50 +0000 2018,0.0,1.0,0.0,late night solo queue vibes... come chill as i climb chally https://t.co/8lgYwMtfyA,51
51,@DarshanU,0.8225,Fri Apr 06 23:41:36 +0000 2018,0.0,0.714,0.286,"What are everyone's predictions for the NA LCS finals? My heart says 100T win, but my brain says TL win 3-1.",52
52,@DarshanU,0.2714,Thu Apr 05 21:18:58 +0000 2018,0.0,0.896,0.104,"getting some more league action, this time with sub and donation notifications! also playing irelia and other carri… https://t.co/NMg7GQxsqQ",53
53,@DarshanU,0.8258,Wed Apr 04 20:31:42 +0000 2018,0.0,0.675,0.325,Initial impressions on irelia after 3 or 4 games: her playmaking is so much better and she's the most fun I've had… https://t.co/tSFqfXz56L,54
54,@DarshanU,0.5719,Wed Apr 04 18:55:59 +0000 2018,0.0,0.657,0.343,alright boys watch me first time irelia... hopefully i don't int https://t.co/8lgYwMtfyA,55
55,@DarshanU,0.0,Tue Apr 03 21:03:36 +0000 2018,0.0,1.0,0.0,duo with the myth the legend the birthday boy JAE HYUN CHOI https://t.co/8lgYwMtfyA,56
56,@DarshanU,0.0258,Mon Apr 02 00:24:20 +0000 2018,0.279,0.492,0.23,@Xmithie missing the best player in the old clg roster tho :(,57
57,@DarshanU,0.5267,Mon Apr 02 00:20:41 +0000 2018,0.0,0.702,0.298,congrats brodie take it home for the boys @aphromoo,58
58,@DarshanU,0.4753,Tue Mar 27 23:08:16 +0000 2018,0.0,0.829,0.171,hey guys it's been a while! trying out conqueror on a bunch of champs in solo queue https://t.co/8lgYwMtfyA,59
59,@DarshanU,0.7424,Sun Mar 25 22:26:29 +0000 2018,0.0,0.614,0.386,Nice game out of everyone from clutch! This'll be an exciting playoffs,60
60,@DarshanU,0.4753,Wed Apr 18 23:20:55 +0000 2018,0.0,0.66,0.34,@betsuniipls @SFAT Nice to meet you man!,61
61,@DarshanU,0.0,Tue Apr 17 18:10:38 +0000 2018,0.0,1.0,0.0,hitting the rift after a short vacay https://t.co/8lgYwMtfyA,62
62,@DarshanU,0.0,Tue Apr 17 16:47:40 +0000 2018,0.0,1.0,0.0,@aphromoo 1v1 me,63
63,@DarshanU,0.2006,Tue Apr 17 03:37:38 +0000 2018,0.081,0.807,0.113,"Irelia ""buffs"" on pbe look much more like a nerf... 3 armor and 10% minion dmg while raising ulti cd and lowering u… https://t.co/2m0s4Zme7A",64
64,@DarshanU,-0.6486,Tue Apr 10 21:11:32 +0000 2018,0.261,0.739,0.0,hey guys I missed ya https://t.co/8lgYwMtfyA im alittle late but ill be streaming til 6 or so to compensate,65
65,@DarshanU,0.4003,Tue Apr 10 00:38:54 +0000 2018,0.0,0.856,0.144,league player gone fortnite streamer... gonna play for an hour or two with the CLG.b guys! https://t.co/8lgYwMtfyA,66
66,@DarshanU,0.0,Mon Apr 09 19:06:30 +0000 2018,0.0,1.0,0.0,probably gonna try 12-4 the next couple days and see how it feels! https://t.co/8lgYwMtfyA LIVE with some more irelia action,67
67,@DarshanU,0.8622,Sun Apr 08 22:25:55 +0000 2018,0.0,0.343,0.657,congrats guys @xmithie @Pobelter @TLDoublelift Well deserved win! ?,68
68,@DarshanU,-0.4767,Sun Apr 08 21:56:04 +0000 2018,0.582,0.149,0.269,top die POGGERS,69
69,@DarshanU,-0.5106,Sun Apr 08 20:33:39 +0000 2018,0.398,0.602,0.0,of course xmithie steals the baron....,70
70,@DarshanU,0.0,Sat Apr 07 03:08:50 +0000 2018,0.0,1.0,0.0,late night solo queue vibes... come chill as i climb chally https://t.co/8lgYwMtfyA,71
71,@DarshanU,0.8225,Fri Apr 06 23:41:36 +0000 2018,0.0,0.714,0.286,"What are everyone's predictions for the NA LCS finals? My heart says 100T win, but my brain says TL win 3-1.",72
72,@DarshanU,0.2714,Thu Apr 05 21:18:58 +0000 2018,0.0,0.896,0.104,"getting some more league action, this time with sub and donation notifications! also playing irelia and other carri… https://t.co/NMg7GQxsqQ",73
73,@DarshanU,0.8258,Wed Apr 04 20:31:42 +0000 2018,0.0,0.675,0.325,Initial impressions on irelia after 3 or 4 games: her playmaking is so much better and she's the most fun I've had… https://t.co/tSFqfXz56L,74
74,@DarshanU,0.5719,Wed Apr 04 18:55:59 +0000 2018,0.0,0.657,0.343,alright boys watch me first time irelia... hopefully i don't int https://t.co/8lgYwMtfyA,75
75,@DarshanU,0.0,Tue Apr 03 21:03:36 +0000 2018,0.0,1.0,0.0,duo with the myth the legend the birthday boy JAE HYUN CHOI https://t.co/8lgYwMtfyA,76
76,@DarshanU,0.0258,Mon Apr 02 00:24:20 +0000 2018,0.279,0.492,0.23,@Xmithie missing the best player in the old clg roster tho :(,77
77,@DarshanU,0.5267,Mon Apr 02 00:20:41 +0000 2018,0.0,0.702,0.298,congrats brodie take it home for the boys @aphromoo,78
78,@DarshanU,0.4753,Tue Mar 27 23:08:16 +0000 2018,0.0,0.829,0.171,hey guys it's been a while! trying out conqueror on a bunch of champs in solo queue https://t.co/8lgYwMtfyA,79
79,@DarshanU,0.7424,Sun Mar 25 22:26:29 +0000 2018,0.0,0.614,0.386,Nice game out of everyone from clutch! This'll be an exciting playoffs,80
80,@DarshanU,0.4753,Wed Apr 18 23:20:55 +0000 2018,0.0,0.66,0.34,@betsuniipls @SFAT Nice to meet you man!,81
81,@DarshanU,0.0,Tue Apr 17 18:10:38 +0000 2018,0.0,1.0,0.0,hitting the rift after a short vacay https://t.co/8lgYwMtfyA,82
82,@DarshanU,0.0,Tue Apr 17 16:47:40 +0000 2018,0.0,1.0,0.0,@aphromoo 1v1 me,83
83,@DarshanU,0.2006,Tue Apr 17 03:37:38 +0000 2018,0.081,0.807,0.113,"Irelia ""buffs"" on pbe look much more like a nerf... 3 armor and 10% minion dmg while raising ulti cd and lowering u… https://t.co/2m0s4Zme7A",84
84,@DarshanU,-0.6486,Tue Apr 10 21:11:32 +0000 2018,0.261,0.739,0.0,hey guys I missed ya https://t.co/8lgYwMtfyA im alittle late but ill be streaming til 6 or so to compensate,85
85,@DarshanU,0.4003,Tue Apr 10 00:38:54 +0000 2018,0.0,0.856,0.144,league player gone fortnite streamer... gonna play for an hour or two with the CLG.b guys! https://t.co/8lgYwMtfyA,86
86,@DarshanU,0.0,Mon Apr 09 19:06:30 +0000 2018,0.0,1.0,0.0,probably gonna try 12-4 the next couple days and see how it feels! https://t.co/8lgYwMtfyA LIVE with some more irelia action,87
87,@DarshanU,0.8622,Sun Apr 08 22:25:55 +0000 2018,0.0,0.343,0.657,congrats guys @xmithie @Pobelter @TLDoublelift Well deserved win! ?,88
88,@DarshanU,-0.4767,Sun Apr 08 21:56:04 +0000 2018,0.582,0.149,0.269,top die POGGERS,89
89,@DarshanU,-0.5106,Sun Apr 08 20:33:39 +0000 2018,0.398,0.602,0.0,of course xmithie steals the baron....,90
90,@DarshanU,0.0,Sat Apr 07 03:08:50 +0000 2018,0.0,1.0,0.0,late night solo queue vibes... come chill as i climb chally https://t.co/8lgYwMtfyA,91
91,@DarshanU,0.8225,Fri Apr 06 23:41:36 +0000 2018,0.0,0.714,0.286,"What are everyone's predictions for the NA LCS finals? My heart says 100T win, but my brain says TL win 3-1.",92
92,@DarshanU,0.2714,Thu Apr 05 21:18:58 +0000 2018,0.0,0.896,0.104,"getting some more league action, this time with sub and donation notifications! also playing irelia and other carri… https://t.co/NMg7GQxsqQ",93
93,@DarshanU,0.8258,Wed Apr 04 20:31:42 +0000 2018,0.0,0.675,0.325,Initial impressions on irelia after 3 or 4 games: her playmaking is so much better and she's the most fun I've had… https://t.co/tSFqfXz56L,94
94,@DarshanU,0.5719,Wed Apr 04 18:55:59 +0000 2018,0.0,0.657,0.343,alright boys watch me first time irelia... hopefully i don't int https://t.co/8lgYwMtfyA,95
95,@DarshanU,0.0,Tue Apr 03 21:03:36 +0000 2018,0.0,1.0,0.0,duo with the myth the legend the birthday boy JAE HYUN CHOI https://t.co/8lgYwMtfyA,96
96,@DarshanU,0.0258,Mon Apr 02 00:24:20 +0000 2018,0.279,0.492,0.23,@Xmithie missing the best player in the old clg roster tho :(,97
97,@DarshanU,0.5267,Mon Apr 02 00:20:41 +0000 2018,0.0,0.702,0.298,congrats brodie take it home for the boys @aphromoo,98
98,@DarshanU,0.4753,Tue Mar 27 23:08:16 +0000 2018,0.0,0.829,0.171,hey guys it's been a while! trying out conqueror on a bunch of champs in solo queue https://t.co/8lgYwMtfyA,99
99,@DarshanU,0.7424,Sun Mar 25 22:26:29 +0000 2018,0.0,0.614,0.386,Nice game out of everyone from clutch! This'll be an exciting playoffs,100
100,@CLGReignover,0.5255,Sat Mar 31 16:20:25 +0000 2018,0.0,0.834,0.166,"RT @clgaming: Proud to announce @OMENbyHP as the official training hardware partner of CLG! #OMENxCLG  
 
Full Announcement » https://t.co/…",101
101,@CLGReignover,0.0,Fri Feb 16 18:12:37 +0000 2018,0.0,1.0,0.0,"RT @clgaming: CLGFIGHTING | EP.02 is OUT!

Watch Now ?? https://t.co/e7QUiDV50Z https://t.co/1tevxw2yBj",102
102,@CLGReignover,0.5473,Fri Feb 16 08:47:52 +0000 2018,0.0,0.221,0.779,LOL https://t.co/hjWeTtqG12,103
